,std_features
10,"[1.1891839285163521,-0.8865250437542864,-0.1,-0.587698924812165,0.8294372198635139,1.4768101159763254,-0.3577613826524603,1.3754069350454077,-0.9109652034601425,-0.010642140271949044,-0.15845530690958112,0.005477308565204465,-0.3274396872353323,-0.18242916059517578,-1.298335733035056,-0.4440997972166954,0.09357432419582148,0.16469149240696354,-0.5405274209468165,0.28485044828413625,2.00005900786059,-0.058119950197024976,0.33286474994037896,-0.7630236156503964,0.5202444011320267,-1.7139803634151578,-1.559940684450847,-1.3332379352328732,-2.26854539218514,-1.1746145991156456,-1.8586705851855079,0.09258845112001213,0.44457540419912206,-1.1702330268953347,-0.1582961233593437,-0.3258185046211893,0.05220721050809801,0.5080494113133492,-1.0714927976584516,-1.5820787774661156,1.1057103910746662,-1.8560065008929867,-0.6241870031091217,0.8985595332703231,0.6877560294971398,0.4871944541353288]"
11,"[0.9479002328753532,-0.8865250437542864,-0.1,-0.587698924812165,0.8294372198635139,0.2289773183621937,-0.35778709770223427,1.2487656258194029,-1.267477034859017,-0.35782855262382757,-0.15845530690958112,-0.8161189762154099,0.9130465689088877,-0.3748369668675513,0.7625146368618583,-0.4441485284458172,-2.2865634828310446,0.16469149240696354,0.8838137109811174,-0.41157561889547906,1.7287407196585471,2.3124403366623842,0.8531943187012354,0.2811204402259172,-0.2519908898342606,-0.2933576420428801,-1.6756826524058526,-1.4169177853935944,-0.8509463669835691,-1.217406055942506,-0.5941305465473419,-0.21953736852479996,0.6123402540131513,-0.9275444733346585,0.06062738663382278,-1.1622507031984137,0.6289024793750781,0.5351652780484115,0.8933216475482851,-1.2860042724685747,1.0146361142072928,-0.9479750313822654,-0.6174256556640882,0.8985595332703231,0.6877560294971398,0.4871944541353288]"
12,"[1.258122127270923,-0.8865250437542864,-0.1,-0.587698924812165,0.8294372198635139,0.5409355177657266,-0.3577880038218496,0.4783643280278747,-0.3769713840612709,-2.374981608388242,-0.15845530690958112,0.8270735933458188,-0.2522587020144705,-0.044736191888014365,-1.298335733035056,-0.4440810008854627,-2.2873373413380502,0.16469149240696354,0.3550164045168545,0.09723295612056493,0.1954164756866259,-0.8175380975081261,0.6375452599303816,0.4259342834525044,0.034121026648725766,0.9967395476884099,0.2606833187044327,0.5600629295994458,-0.27955565727059156,-0.030223383214911876,0.20749545643108355,0.29698536853563506,0.20347411760674883,-0.7793309790741468,-0.18504350944663098,-0.885654902438708,-0.548990020040809,0.5091606478599952,-1.491718855582143,0.1451430192454342,1.4386070488272145,-0.4607413710361168,-1.1096448876822655,0.8985595332703231,0.6877560294971398,0.4871944541353288]"
13,"[0.2240491459523564,-0.8865250437542864,-0.1,-0.587698924812165,0.8294372198635139,-0.27015580068345896,0.4483430617336603,0.03511974573685845,-1.6982207525452306,-0.3017176172942311,-0.15845530690958112,0.553208165085614,0.2176224556159159,-1.4720325175130375,0.7625146368618583,-0.4440162579667723,-0.7178901210995678,0.16469149240696354,-0.7494876468883398,-2.2881859497256327,-2.076961846293139,-0.20436021710646518,-1.1589427717375511,-0.12084589467950876,-0.951810804868141,-0.3951285768251034,3.298117992241624,0.2403632716231494,-0.4791507264652565,-1.0152978987649137,-0.7664051622322647,-1.6654329542832915,-0.621075701690334,0.3597885166865699,-0.2270198114780804,0.4942103203928645,0.4307815533605211,-0.6889228943863991,0.3210701814187937,1.190386834699985,0.8434065085446611,-0.24467102705915003,-0.28626164729789966,0.8985595332703231,0.6877560294971398,0.4871944541353288]"
14,"[1.3270603260254943,-0.8865250437542864,-0.1,-0.587698924812165,0.8294372198635139,0.3537605981236069,2.8542468680411046,1.0904639892868973,0.1114666069663538,-0.8242507025510988,-0.15845530690958112,-1.3638498327358193,-0.4871992808296637,-1.719155161350627,0.7625146368618583,-0.25643861851026656,0.325274197535241,0.16469149240696354,0.8710202277602078,0.6099877619707694,-2.226544277817574,-0.9000173595302274,-1.5667130758299734,0.5254767734386749,-0.20340097220685707,-1.6130296428956403,-0.2695306360833649,-1.725581106390461,-0.6983432986789968,-2.016192557097646,-1.12604806527506,-1.4150676332030128,-1.3186452005475437,-0.3218989019049603,0.91772345686543,0.44800024003284356,0.9731432982717872,-0.8582994570818702,-2.676191827027928,-0.8039458492062446,-0.2625701864519246,0.24852807732619786,2.0406609383565883,0.8985595332703231,0.6877560294971398,0.4871944541353288]"
15,"[-0.9823693322526382,0.08678698964474735,-0.1,-0.587698924812165,0.8294372198635139,1.2272435564534991,-0.35763033900877655,0.8319046496171377,-0.42321152745096996,0.231336268336936,-0.15845530690958112,0.553208165085614,0.48075590388893225,-0.03169159485259907,0.7625146368618583,-0.44413808603957683,-0.002118676990779931,0.16469149240696354,-0.6300818034931837,-0.6817724865379017,0.5933070576767653,0.9417866062774163,-0.7559139596407586,-0.512492438124209,-0.9393037350857558,-0.6513077603240879,0.8988337557898219,-1.3988760560086646,-0.4344732958799078,-1.5573440409423318,-0.4707014696463229,0.3472489456279203,-0.26827886734943607,0.6589306243897322,0.5809831104760603,0.5795581634002475,0.6492340290195029,0.5874653227550803,0.3483462927504114,0.5300085379753513,0.29467753906811645,-1.0426531711584675,-0.6585912583824848,-1.1366828976930357,0.13086855622010327,0.31381564483448265]"
16,"[-1.4994058229119216,0.08678698964474735,-0.1,-0.587698924812165,0.8294372198635139,0.9776769969306727,-0.357739135853628,1.4440043108761602,-0.6297769037351859,-0.140398678221641,-0.15845530690958112,0.005477308565204465,-0.1347884126068739,1.676114296022324,-1.298335733035056,-0.10328332698457582,-0.419788687351271,0.16469149240696354,-1.8092997969084899,1.460613857205775,-0.3576631284618846,-1.3660421827847993,-0.17235710487560255,-0.6722969596209931,1.7325043185650886,-0.5970409880351896,-0.07313537893506326,-0.646858399001474,-1.6749856748524798,-0.1964404413963839,-1.0180990334607674,-0.35686823455287425,0.7960699614632463,-1.1410330590868076,-1.0627782428936985,-0.12106724953033068,1.911641302963624,-0.8608545495630209,-0.4261362216765305,-1.3954420504307457,-2.4255725192325555,-1.5406267069637765,-1.397518986729721,-1.1366828976930357,0.13086855622010327,0.31381564483448265]"
17,"[1.6028131210437788,2.520067073142332,-0.1,-0.587698924812165,0.8294372198635139,0.5409355177657266,-0.35775300885739425,0.4678108855923743,-0.31926081750513485,0.7398416197614046,-0.15845530690958112,1.3748044498662284,1.2466621908264621,0.23028739560865802,0.7625146368618583,-0.4440997972166954,0.17221879149226316,0.16469149240696354,0.866755733353238,-0.09757595883549051,-0.4747011410286341,1.2933288514894206,-1.0490400646079594,-0.9594504268216392,2.517698960579332,-0.5230636854840567,-0.6308298874876389,-1.1261186175376476,0.22270474603459042,1.6720608166187172,-0.11657097089560335,0.7648790998271201,-0.6882139212360711,0.22858842605388607,-0.3630485288536838,-0.22568981414613873,0.0462763553431635,0.7036914423065396,-1.1366965427619542,0.6976911787922638,-0.7866230284309296,-0.14746865768323653,-0.7615133769806908,0.18622468243314752,1.5230872394126944,0.31381564483448265]"
18,"[-0.5687401397252115,1.3034270313935394,-0.1,-0.8120114915343657,0.8294372198635139,-0.020589241160632623,-0.3577902972418416,-0.044031072529394456,0.4100560600176664,-2.374350360365784,-0.15845530690958112,-1.0899844044756146,0.767383410043468,0.5274143280820063,-1.298335733035056,1.0244965469773286,0.3247402389793971,0.16469149240696354,-0.9413898952019836,1.7001572007516799,1.2055809658916052,0.7305313603506783,2.254050866921756,0.7255653516855869,0.31136389848545,0.8979261664083519,0.2744221900957221,0.5553477427064496,1.1977518298270973,2.0327478737361786,1.575409668825066,1.0935356788332462,1.0713174631235403,1.2006466856805644,0.2563527288215622,-0.5867832977622564,-0.8925372193612959,0.6703694097103365,-0.10116825464401254,-0.009969884133220558,0.8576904503378463,0.9361157477042032,-0.7636509719052111,-1.4419692623375395,0.6877560294971398,0.4871944541353288]"
19,"[-0.43086374221606927,1.3845363675101257,-0.1,-0.8120114915343657,0.8294372198635139,0.5409355177657266,-0.35761034188623064,0.6261125221248801,1.5713386463310604,0.41720374161622453,-0.1584552623306511,1.1009390216060235,0.8096727142302027,-0.3020046334198159,0.7625146368618583,-0.44335769021321186,-0.3345460179004722,0.16469149240696354,-0.8219840518068274,1.0986972426834938,0.6735693301365147,0.49551111563568706,0.33445818533576976,2.0300978375396497,0.4288371931606423,-0.08673690537483326,-0.0570425222827673,-0.09733313821480176,0.6212388377862698,-0.032129594104995524,0.15502715194716318,-0.4938774824936942,-0.9406399055405457,0.1878275392507553,-0.08038646432032857,0.053359759500590936,0.1511288189341462,-0.30416038917904076,-0.9121257386593083,2.036461099993668,0.6247159985865622,-0.1748453141278629,-0.6070928342903894,0.8985595332703231,-0.14757518041841497,0.4871944541353288]"
