,std_features
30,"[0.568740139725212,-0.8054157076377003,-0.1,-0.8120114915343657,0.8294372198635139,-0.6445056399676985,-0.3577578206650069,1.0799105468513968,0.05022041281488134,-0.4665434898249209,6.943429407821231,-0.5422535479552051,-0.9891733215262055,-0.23352049898388566,-1.298335733035056,-0.12416813946535184,-0.057535947108010646,0.16469149240696354,-0.6514042755280329,1.0168301716260983,0.47980392533079685,-0.5289433325845154,0.8115518721892323,-1.5102160586769446,-0.8928032019811902,-0.17483562980824754,-1.0786522514057093,0.17304109753110372,-1.3881427015579426,0.6847473496968643,1.5429633684514497,-1.3360696718090332,-2.9718233408797987,-1.1985852573551565,1.2937023883790268,1.6312705383819974,-1.954956082321831,1.1228374331352182,0.9327410754048628,1.2806170509024026,-1.7059371169181685,1.753797485883576,0.876789972897459,0.8985595332703231,-1.5397938636110062,0.31381564483448265]"
31,"[1.1547148291390665,-0.8054157076377003,-0.1,-0.8120114915343657,-1.1935803895596906,0.10419403860078054,-0.3576684585236298,0.6736030130846319,0.35931898936385287,0.6802237509737082,-0.15845530690958112,0.2793427368254092,0.5418404543808825,0.023023242712615067,-1.298335733035056,-0.44417359022079417,-0.24834985102852355,0.16469149240696354,0.7857303396208106,-1.215493616037731,0.8997996297982255,0.38241754180021037,-0.6899595370884378,1.2228038154258378,-0.07125675844134242,1.8533178729195212,-0.9667096238998583,-0.5975406573916936,0.7895142273819027,-0.9187906105260402,-0.7047741370458259,0.3616364516744775,-0.6580488045869726,0.24240863155798092,-0.04318632403743637,-0.09132623712004626,-0.315689842654924,0.19945810318588691,-0.7490619049821717,0.1403245507158969,-0.6358146596474903,0.5875047724903043,0.0461420610930112,0.8985595332703231,-1.5397938636110062,0.31381564483448265]"
32,"[0.7410856366116397,-0.8054157076377003,-0.1,-0.8120114915343657,0.8294372198635139,-0.0829808810413392,-0.3577835044692768,0.6261125221248801,0.7367024288255195,0.8275149562138991,-0.15845267316589903,0.553208165085614,0.7062988595515177,0.37993791159828344,0.7625146368618583,-0.44375102084826645,0.18884778651711695,0.16469149240696354,0.372074382144734,0.8320525983579576,-0.2461109202839198,0.6047298600854866,-0.34626546374681455,-0.17776625902687343,-0.26755281744312936,1.5548276230652944,0.6020190990614792,-0.05440184586496289,0.2185197690302506,0.11663905988135984,1.6792167655706542,0.743166971246574,0.7528345101467436,0.3875800430473188,0.23322392190077176,-0.8226613032724867,-0.18603650030389116,-0.043762442631668334,-1.2915122750669454,0.33931178362543335,0.2982577409156543,0.34871773942676354,0.7719252613588898,0.8985595332703231,-1.5397938636110062,0.31381564483448265]"
33,"[0.8444929347434965,-0.8054157076377003,-0.1,-0.8120114915343657,-1.1935803895596906,-0.3325474405641655,-0.3576947047469713,0.1512076125273627,2.5580883165096915,0.17522533300733947,-0.15744895037424697,0.553208165085614,0.16593552827657337,-0.7658125280123597,-1.298335733035056,-0.0615137020230238,-0.5260083000673671,0.16469149240696354,-0.7921325909580383,0.28840043903587975,-1.0261120810165625,-0.34587218851150037,0.42284568094182856,-1.138757362716116,0.3055452722743681,-0.628457104959382,1.953007576548314,-0.6963701048048199,-0.11900032752712499,1.8956516892249848,-0.716514174503047,-0.3999449345906999,0.018754425827010607,0.797807397709368,0.3813488781145526,-0.11623751526018158,0.11240873070712545,-0.8376752756201542,-1.4590041188897496,0.6249576431208297,-0.9712672410597206,0.9276025234169559,0.9634593732522012,0.8985595332703231,-1.5397938636110062,0.31381564483448265]"
34,"[-1.154714829139066,-0.7243063715211141,-0.1,-0.8120114915343657,-1.1935803895596906,0.6657187975271398,-0.35731288468835987,-2.4790268456723985,0.5822427532320216,-0.05973920868534601,-0.15845530690958112,-0.5422535479552051,-0.40262067245619415,-0.3273691276553457,-1.298335733035056,-0.44413669371874476,-0.5724817643742119,0.16469149240696354,0.3464874157029148,-0.4778798881697676,0.8145076115612249,-1.2853787951336912,1.4630229299358413,-1.2248532138959918,-0.6123537732026326,0.0847111284673291,-1.1778416505058982,0.4067206773232002,-1.4322990847633208,1.0642450454985908,0.06810223725801696,-0.4033378958861063,-0.7448777478390102,-0.7636808999774842,-0.8084903014935203,0.1302869305601991,-0.5050912149030564,-1.16339733813915,-0.7219931631335833,-0.146416604696204,-1.1461858447668383,1.0579872609482655,0.629088904900473,-0.526110168404028,0.6877560294971398,-0.37969959236890194]"
35,"[-1.2925912266482082,-0.7243063715211141,-0.1,-0.8120114915343657,-1.1935803895596906,0.7905020772885529,-0.35779030349094243,-0.3448041819411555,0.43537571570039807,-2.3745257070386887,-0.15845502098954714,-1.0899844044756146,2.388473403868301,0.5535035221528369,-1.298335733035056,-0.4438143714461248,0.4403994761648769,0.16469149240696354,-1.8103232755661627,-1.5791572355321344,0.031174817463231672,-1.233618130519948,-0.32991243030348955,0.670809048860687,-0.6512630630745259,0.41808835217567303,-0.009496376458377047,1.8898349170405293,2.466033745827642,0.031612059052384234,-0.24384883913837105,0.9122441449568972,0.7488763993342324,1.0734631870257116,-0.0806928496799584,-0.542472389629869,-1.2585768462967757,-0.004838675741845083,0.10242051969924655,-0.4831979289560656,-0.3833508118581784,1.5184270972644949,0.02791011432056776,-0.526110168404028,0.6877560294971398,-0.37969959236890194]"
36,"[0.6721474378570687,2.1145203925594007,-0.1,1.4311141756876407,0.8294372198635139,-3.389737794718788,-0.3577837544333086,-0.5136592609091617,0.36070391261548235,0.6767168175156084,-0.15845530690958112,-0.8161189762154099,-0.9880925948636555,0.3350065218096308,0.7625146368618583,-0.44396891905848257,0.14075337659431728,0.16469149240696354,-0.9541833784228931,-1.7227459711534205,-0.3438448671228119,0.18415384314307917,-0.7396793154384882,1.319045084131438,-0.5931524053962215,0.8104834706472949,-0.6153963111594407,-0.363414325114139,1.0997881801210103,-0.8689590841349386,-0.242173030778666,0.83574397205303,0.9912321047944761,1.7074287968501458,0.5332370519689895,0.5435125606749194,-0.8235596734023399,2.352259604202529,1.312875567198572,0.8026209708170774,1.5428309807532978,-0.4644396968067394,-1.3389451543128545,0.08446256088497958,0.6877560294971398,0.4871944541353288]"
37,"[-0.1551109471977848,1.4656457036267116,-0.1,0.08523877535443682,0.8294372198635139,0.47854387788502006,-0.22031072339594104,1.0376967771093952,-0.7084405444277395,-0.14741254513784058,-0.15845530690958112,0.8270735933458188,-0.9895454674030487,-0.376286366538153,0.7625146368618583,0.1264496103039603,0.7251519460170754,0.16469149240696354,-1.1631436043644163,-0.7173828795289481,-1.2582787236450848,-1.1426473948025648,1.544074400624599,-1.3650934946926565,-1.4960592455702446,-1.7325498137175397,0.6637524572981961,0.14946215927424641,-1.3506966742034139,-0.09341531776752947,-1.1666817461865702,-0.47014083123081957,-1.0982943340198348,-0.9256188831188146,-0.1773576129231246,0.10170900136605565,1.3145606272236665,1.258840703889873,-0.03271676708600793,0.6123123176666286,0.39208861816722745,-1.9190153547725493,-1.2753580077706148,0.7967974117221551,-0.7044626536954515,0.4871944541353288]"
38,"[0.2929873447069275,-0.5620876992879419,-0.1,-0.587698924812165,0.8294372198635139,0.6033271576464332,-0.35778974107187084,0.5522384250763774,-0.4121810210821094,0.9853269618283894,-0.15845530690958112,-1.0899844044756146,-0.9897301306979974,0.7832333699432062,-1.298335733035056,0.3074513184706857,-0.1727565754797615,0.16469149240696354,0.926458655050816,-0.15056604421799377,0.1781327536288129,-1.0019602057536467,-0.2490746643788677,0.3204916526898368,-0.5213806744285392,0.7321180300705549,0.2646546804203817,2.190586393362527,1.6268980827000294,0.5413252378472564,0.18137818534913153,1.1862143001056773,0.6593721069986992,0.6937912037653562,-0.020251293825285673,-0.6036193778176585,-0.9281105240630662,0.3434635070756439,0.8509004677248467,0.27495868774588844,1.5490929309350256,0.46745551213241465,-0.3651091276712404,1.3056080194629949,0.6877560294971398,0.4871944541353288]"
39,"[-0.08617274844321365,0.24900566187791964,-0.1,-0.8120114915343657,0.8294372198635139,0.5409355177657266,-0.3577889224396666,0.14065417009186232,0.3198731165145007,0.8345288231300987,-0.15845530690958112,0.553208165085614,-0.9882805473267077,0.4737865402697435,0.7625146368618583,0.3074513184706857,-0.45731834584773007,0.16469149240696354,-0.10128449702892071,1.3302786293501803,0.3289645630150124,1.3526783952344459,-0.3566729321160574,-0.4227714136260132,1.1227807894687014,0.8076430588435243,1.198044348344654,0.4083167702565791,2.2246465216556635,1.44374571882625,0.528986246872302,0.9482205195463322,0.3180680865799187,0.8542632721799417,0.047956738304474944,-0.1592744041207587,-0.5456317351755056,0.31934499061108546,-0.33714601593688476,0.401056319339604,0.42588337610285393,0.5629700747986314,-1.321828529620099,1.4073701410111628,0.966199766135658,0.4871944541353288]"
40,"[0.36192554346149863,-0.5620876992879419,-0.1,-0.587698924812165,0.8294372198635139,0.2289773183621937,0.6295669848061691,0.7105400616088833,-1.060031824979648,0.11560746421964314,-0.15845530690958112,0.8270735933458188,-0.47780165767705596,0.3763144124217792,-1.298335733035056,-0.4441561862103935,0.15482699853048942,0.16469149240696354,-0.07143303618013168,-1.23692822927386,1.009697374265362,-1.1673934551610556,0.5516909231141182,-0.2535026733334774,-0.8655941277338812,-0.3804323056269028,-1.5693977092218863,-0.19727759475371123,-2.249448563637864,-1.083722420633914,-0.4573354006275059,0.565127823402977,-0.3674247444570804,-0.2668076538623725,-0.12179279345799676,0.7381131627773337,0.6005150127749638,0.30422576296993364,-0.2033302618269072,-3.21831320893146,-0.20076245389367636,-0.06103923751738184,0.7563805096823678,1.3056080194629949,0.6877560294971398,0.4871944541353288]"
41,"[1.499405822911922,-0.8054157076377003,-0.1,-0.8120114915343657,-1.1935803895596906,0.29136895824290027,-0.35778942236773026,-0.20760943027965045,1.0784200212540462,0.8275149562138991,-0.15835692582262378,-1.3638498327358193,1.3688312918103627,0.1404246160313527,-1.298335733035056,-0.44397309602097873,0.5163360107852529,0.16469149240696354,0.46589325909807094,1.6959535246555544,-0.8542302289206011,-0.46324063382761743,0.14556870862783217,-0.7431340589668695,1.2442176127793003,-0.12729367224181587,0.050408706321382446,0.1795197316942526,-0.48556786285718234,0.0631845418497451,0.03293106019531712,0.5515558779973373,0.11408242570819413,1.0183982667588736,0.13797848347860223,-0.8670894217657226,-0.6635385439596481,1.1595446891906833,0.5056940214394041,0.2647512792317884,-0.05477597112880585,1.0679054185497958,0.36433828267878393,0.8985595332703231,-1.5397938636110062,0.31381564483448265]"
42,"[0.7755547359889253,2.4389577370257456,-0.1,1.4311141756876407,0.8294372198635139,-0.020589241160632623,-0.3576522108615612,-1.2946140011361904,0.7419162575375363,0.3365442720799295,-0.15845530690958112,1.648669878126433,-0.46840403452444823,1.6767230438839764,-1.298335733035056,-0.44406568535631014,0.7149876635076178,0.16469149240696354,-1.0991761882598685,-0.7853609178638399,-1.5908479507443605,0.3229833510830766,-1.7017439392059124,-1.0458810182067722,-1.540601486347376,-0.09521329841355852,0.30653100676570166,-0.882991501322405,0.5137124136839927,-0.4713741028461883,1.509113336262037,0.8653983002506682,0.6556963732765547,0.4490000555676203,-0.9882287244915312,0.8844676205609772,-0.33220163835327177,0.3997126803317858,-0.29122941287930193,-0.2900459508745366,-1.1866275113445082,0.25623153935629556,-0.18962660917148114,0.18622468243314752,0.966199766135658,0.31381564483448265]"
43,"[0.7066165372343542,-0.5620876992879419,-0.1,-0.587698924812165,0.8294372198635139,0.29136895824290027,0.6670615895797916,-0.5136592609091617,-0.5830642571184603,0.5750157472307148,-0.15845530690958112,1.648669878126433,-0.510693338711183,0.4723371405991418,0.7625146368618583,-0.4438749374023191,0.9557266923995381,0.16469149240696354,0.6577955074117148,-0.6651394044908557,-0.3001011090462003,-1.1006957977398242,1.2451677727305535,0.13541997404808293,-0.9739552664825573,0.03636031370879082,-0.9382998651884066,-0.4575410142249336,-1.6351184098038163,-0.7504108588566473,2.1283667248330866,0.9867810726905649,-0.6281364865463653,-0.48240458405248726,-0.4720888849415786,0.8490488277982257,-0.9529759185214196,-0.9529253450331213,-1.1905908535051122,-1.5955373565197812,-0.32633446893335966,0.060220325583454325,0.789634517112397,1.3056080194629949,0.6877560294971398,0.4871944541353288]"
44,"[1.4649367235346364,-0.5620876992879419,-0.1,-0.587698924812165,0.8294372198635139,-0.0829808810413392,-0.3577311370046097,0.18286793983386387,-0.4838222862281654,-2.374806261715337,-0.15845530690958112,-0.8161189762154099,1.8152183915592297,0.33428182197432993,0.7625146368618583,0.9827269220157766,0.6702304945588426,0.16469149240696354,1.3827595565965913,0.7296596187052168,1.0090285586334091,1.6239820410397203,0.2926442094066116,0.41423891801986656,-0.9200627599281845,0.25698847528063246,0.9456000793398607,1.2078203971298855,1.620738393730011,0.1669387707304705,0.9413513704705297,0.8370079952668309,-0.1358557735589859,-0.6394081997981226,-1.3939422464061666,-0.27211310572067865,-0.2439579625597329,-0.11950436302938104,1.1009804039916404,-0.48355980720346003,0.8683253775608438,-0.058222085270162253,0.15856431320387496,1.3056080194629949,0.6877560294971398,0.4871944541353288]"
45,"[-1.706220419175635,0.24900566187791964,-0.1,-0.8120114915343657,0.8294372198635139,0.6033271576464332,-0.3577896348371573,-0.09679828470689639,0.23179199771086673,0.9081744257501941,-0.1584552699141932,-1.0899844044756146,1.8575076957459644,0.4654524921637837,-1.298335733035056,0.6764163389643952,0.8390758178960624,0.16469149240696354,0.7644078675859612,1.1281047148269294,1.4972827774728459,-0.4283478540781704,0.08762399040795828,0.5706470844700837,0.054943087054570613,0.6863780287989019,-0.05717334968379094,1.6348912999433525,1.0677974647876152,0.6741383074480259,0.45320954162221555,0.9157828866631528,1.1331672924696694,1.1611696426811569,0.981567170712664,0.015295090835230828,-0.6463545322461905,0.544890704543384,-0.009134321312011503,-0.11836757897368613,0.18673378739584082,0.6692761830838653,-0.5695652145942125,1.4073701410111628,0.966199766135658,0.4871944541353288]"
46,"[-0.603209239102497,-0.48097836317135567,-0.1,-0.36338635808996445,-1.1935803895596906,-0.5821140000869919,-0.3577902597472368,0.35172301880187007,0.4060479291953035,0.36810667320282753,-0.15845523660809607,0.553208165085614,-0.9883275354424708,-0.2820753879490426,0.7625146368618583,-0.4440336619771729,0.7627960242040726,0.16469149240696354,-0.23774831805195631,-0.4791835100755182,-1.479337899466968,-0.3025011606316997,-1.660056755425587,-1.3149332269661151,-1.4478452043290386,0.09796280351810337,1.163714978315109,-0.17183557025762042,1.0762996927627504,-0.19869298534605145,0.7602152866266252,-0.09080148237718785,0.4769233319644464,-0.41742153583899017,0.06095467844227844,-0.38333870722780305,-1.2720413451743822,1.3110597885027104,0.24083360671499687,0.7975923405615434,0.38479647561076646,-0.5637806322410708,-0.06327234566528757,0.38974892552948337,0.6877560294971398,0.31381564483448265]"
47,"[-1.0168384316299237,-0.48097836317135567,-0.1,-0.36338635808996445,-1.1935803895596906,0.2289773183621937,-0.35756722309074096,0.7633072737863852,-0.07013756435908168,-2.374981608388242,-0.15845530690958112,-1.0899844044756146,0.36798442605763954,-0.5458661279985518,-1.298335733035056,-0.44404967366674153,0.43902643987842105,0.16469149240696354,1.2932051740502242,-0.2270552709108097,-0.13216546565214538,-1.5576207009932648,-0.16256485360200787,2.0106949575490596,-0.4179434783371165,0.1380840363093069,-1.269946952986485,1.3310866021658272,-0.15722763842903303,-0.15842484206386573,1.7649189893681245,0.0889647637257369,-0.7817280976361201,-0.16216002782124356,-0.5635252544281106,0.6037779982121975,0.7672075301027774,-1.0722935789775938,-0.0885220451608001,0.3474483365171486,-0.28997267177916414,-0.3956738222912637,-1.6604279312237722,0.38974892552948337,0.6877560294971398,0.31381564483448265]"
48,"[1.7062204191756354,1.2223176952769534,-0.1,-0.8120114915343657,-1.1935803895596906,-0.14537252092204578,-0.3577410105838667,-2.4791851473089315,1.9221641457908913,0.38914827395142626,6.748716839884889,-0.8161189762154099,2.947631981448461,-0.6353665576582067,0.7625146368618583,0.36314415175275505,0.6853529636582797,0.16469149240696354,-1.8107923699509294,-1.5258516731202585,1.6649028290817094,-0.1896322600093527,-0.8721006041061633,-0.1804671242643148,-0.3157803106080892,2.6313945334819597,-0.45629567603907534,-0.7590254720058348,0.27732552093171237,-0.8146611962422176,-0.9475432507049134,-0.8115887420295588,-0.6401932269582936,2.0089444758783648,2.865970267329764,0.3315720242605657,-0.4413105996051263,0.8227193875644587,-0.6584555228057161,1.2112394725370366,-0.500269020861822,2.0163339362951733,0.8807174185499974,1.1020837763666589,1.5230872394126944,0.31381564483448265]"
49,"[-0.3274564440842126,-0.48097836317135567,-0.1,-0.36338635808996445,-1.1935803895596906,-0.3325474405641655,-0.35768095672522093,0.7422003889153844,0.23529503887675302,-0.13689174476354124,-0.15845527698533382,-1.3638498327358193,-0.9895083467915958,-0.874517503307487,-1.298335733035056,-0.444197259674939,0.3817784547125826,0.16469149240696354,-0.7153716916325809,0.1860292694548429,-2.04753156193706,-0.39512924417903506,2.066610956789165,-1.3494633863740206,-0.2716919211965588,-1.4350010920163334,0.7298466666094501,0.45527125651156386,-1.7030312051204832,-0.3092532995604571,-1.1296161001985472,-0.7343228328131342,-0.16427637618805555,0.14324687365764924,0.6826895315619737,1.120237739654533,0.0007726434810020978,0.7445437553730037,-1.050259100810641,-0.09296366771585651,-0.8647845225300058,0.3650336053420315,0.439058350601532,0.38974892552948337,0.6877560294971398,0.31381564483448265]"
50,"[-1.395998524780065,-0.48097836317135567,-0.1,-0.36338635808996445,-1.1935803895596906,0.2289773183621937,-0.3577517590372351,0.14065417009186232,-0.2348130855851876,0.8590773573367972,-0.15845530690958112,-0.2683881196950003,-0.6046695702372603,1.6767737728724477,0.7625146368618583,-0.44363615437962217,-2.286048022125171,0.16469149240696354,0.5128026975747394,0.10022708542793866,0.3264782348231463,-0.6907870827656624,0.11352606692572648,2.0940621822781207,-0.02996125911465834,0.7182049971848012,-0.7145320818281845,1.345593674454843,1.0208291385557275,-0.6367185896343006,0.7254311205384932,1.029125993701254,0.2801261952132803,1.2712725625350922,1.0843056066761783,0.43100382265552933,-0.32134966704095325,0.8139456274362713,0.029934399282872278,-0.026978029264822505,0.1337720076317428,-0.3164637863231638,-1.1557594552593966,0.38974892552948337,0.6877560294971398,0.31381564483448265]"
51,"[-0.6721474378570682,1.627864375859884,-0.1,2.1040518758542426,0.8294372198635139,0.9776769969306727,-0.3574828602300003,-0.5347661457801625,-0.3471059214702496,0.5855365476050141,-0.15845530690958112,-1.3638498327358193,0.9647334962482302,0.42813045064579,-1.298335733035056,-0.4439765768230588,-0.7914047722702232,0.16469149240696354,1.5234878720265967,1.5083791565895805,-0.5445233040456058,0.3711285932042552,0.22237298206841824,-0.930879962422977,-0.20585105715224444,-0.9586308227707451,1.4618456463610103,0.053027829150334625,-0.5557238619025967,0.8820695986436651,-0.6091011442494212,0.7288421030529948,0.5651187946944425,1.3283640275158133,1.0130298264867552,1.1820623834216264,0.1231578724246541,0.6605308607061481,0.446517254364021,-0.5468039153147496,-0.36194760448430063,0.10004199123513872,0.0410140509521142,-1.3402071407893716,-0.7044626536954515,0.4871944541353288]"
52,"[0.08617274844321414,0.0056776535281611975,-0.1,-0.36338635808996445,0.8294372198635139,1.2272435564534991,-0.357712202229199,-0.4186782789896582,-0.7659718856219,0.9572714941635911,-0.15845143315428217,0.2793427368254092,-0.9895595638377777,-1.0103987224263964,0.7625146368618583,-0.4439201878293607,-2.2859993937566925,0.16469149240696354,0.18443662823806004,0.010007945556006297,1.8260276668069018,0.19737586587877357,0.8656472553661104,-0.712540623047383,-0.7485623927855629,1.3398446219968179,-0.9085608858300925,0.0564102457738336,-1.0865012605810895,0.5365445887067679,0.26097949473807264,-0.5636108299406094,-0.02672294330735501,0.21629931700110697,0.13444864298922823,-0.9464909899361792,-0.17901220969095513,-0.6559504175808899,-0.012211118786874703,-0.19787869005155348,-0.3908661218537351,1.2628527094104836,0.4706471194508727,-1.5437313838857074,-0.14757518041841497,-3.1537605411824403]"
53,"[-1.0513075310072093,1.8711923842096425,-0.1,-0.36338635808996445,-1.1935803895596906,1.102460276692086,-0.3577838794153245,-0.249823200021652,0.519399824037494,0.1261282645939425,-0.1584552425519534,1.648669878126433,-0.9895703711044032,-1.3278172502881684,0.7625146368618583,-0.1311297436256105,-0.1909874461721471,0.16469149240696354,0.7174984291092928,-1.5736962466653424,-1.1761192547203614,-1.65050897626329,0.0888631362906947,0.04282938722104702,-0.6972372622699706,0.28053823619174495,-0.7772145939630787,-0.37652327521181644,-1.1824218818131145,0.7182277949510767,1.096745329824794,-0.7134195946472065,-0.29381883401757997,-1.2279712195292736,-0.3799248983099785,-0.980586187494256,-0.03569765649895002,0.04888355277591355,0.008644884512839119,-0.14210275983077214,-3.71336839332352,0.4209445276565128,0.29488365448921866,-1.5437313838857074,1.2446435027741762,-2.4602453039790557]"
54,"[-1.6717513197983493,0.0056776535281611975,-0.1,-0.36338635808996445,-1.1935803895596906,0.9152853570499662,-0.14532151384869604,-2.479132380096754,0.8839930899399944,0.34005120553802926,-0.15845530690958112,-1.3638498327358193,0.7203952942804293,-0.4248412555033099,0.7625146368618583,-0.44415966701247367,0.3050409822584407,0.16469149240696354,-0.1823098907613481,1.6768510652780442,-1.4283146714490293,0.3068315536829989,-0.5246553526547849,1.5394389195052387,1.1161906180575225,-1.64146171695457,-0.3370313231096238,-1.7338163098109984,-0.6559374473274622,-1.4564446992379285,-0.3730845263890087,-0.39085608021335366,0.29526062982734724,0.01133520038597269,0.43088641907119024,-0.3571766416939615,0.27443895831039267,-0.6126963305887528,-0.7273118766557012,1.2087511665714756,-0.05822679893907463,0.056081268911249635,0.7117392470970652,-1.5437313838857074,-0.14757518041841497,-3.1537605411824403]"
55,"[-1.223653027893637,1.5467550397432979,9.9,-0.36338635808996445,-1.1935803895596906,1.102460276692086,-0.3577864727921547,0.5733453099473782,-0.3884092207982578,0.8766120246272961,-0.15845530690958112,-1.3638498327358193,-0.9891263334104424,0.10382727434865979,0.7625146368618583,-0.444115808906264,-0.4660333122770399,0.16469149240696354,1.9499373127235828,1.6922624241989652,-0.8324303756103658,-0.5506739846574411,-0.9182066202022903,-0.03300307436497884,0.2084640454627273,-0.04488281556258248,1.1787513874859512,0.2954404244425726,0.8232780882110843,-0.2663288040601096,0.11210438428170713,0.5978386418545161,0.6157155160252566,-0.43335225928310384,-0.4553723149042495,-1.0989898559260447,0.5679112774563153,-0.4996305214423739,0.9171776721882797,1.201528664756728,0.9207002526048853,-0.5363615120758248,-0.9760478916725621,-1.5437313838857074,-1.5397938636110062,-2.807002922580748]"
56,"[-0.2240491459523559,-0.07543168258842495,-0.1,-0.36338635808996445,-1.1935803895596906,0.29136895824290027,-0.35776294492765925,-0.12318189079564736,-0.5320013221701457,1.0133824294931877,-0.15845530690958112,-1.3638498327358193,1.2983491181658047,0.6973564394600555,0.7625146368618583,-0.4438498756273421,1.1434131247786794,0.16469149240696354,0.7729368563999011,1.6741309413823846,-0.6712001288525861,1.0088369895410285,-0.36613553487420214,0.902848717252676,1.1544010087834693,-0.25865376374504984,1.6121679062377428,-0.32548636388456825,0.40970642300688737,0.2616390706775477,-0.5329442490203246,1.1616147164854973,0.5546940039329104,1.1291798322122468,0.6059072683744697,-0.20240877221178744,-0.4804721848655594,0.15254795231299226,0.20014763704639954,0.39147009421005696,0.9201832483194439,1.0486960773044254,-1.7170277531840281,-1.5437313838857074,0.13086855622010327,-0.2063207830680558]"
57,"[-0.8789620341207816,-0.07543168258842495,-0.1,-0.36338635808996445,-1.1935803895596906,-0.6445056399676985,-0.3577710687586935,0.44142727950362337,-0.1972246392144914,1.0449448306160858,-0.15845530690958112,-1.0899844044756146,-0.9896347448229985,0.736127880648651,-1.298335733035056,0.4884530266374111,-0.34217399726967124,0.16469149240696354,-0.3017157341565042,0.46348000884000246,1.424904693536067,-0.5850610076362698,-0.05902530336333941,1.0862754698836616,-0.36483609920760857,0.9969060502938911,0.002602415914347461,2.0219787458216514,1.556767496280307,0.8094284332334152,0.7832984149261488,0.8894123599631485,0.4502710124546096,0.6383508442748482,-0.06544734418511222,0.2790959545916681,-0.7483859847629108,1.012022617624559,0.8452978762304554,0.003664958985696455,0.02082436620234969,0.44194688312142677,-0.4216283393574102,-1.5437313838857074,0.13086855622010327,-0.2063207830680558]"
58,"[-1.464936723534636,0.8978803508106088,-0.1,2.5526770092986437,-1.1935803895596906,-0.20776416080275237,-0.3575066068130236,0.5838987523828786,0.22139692671628322,0.07352426272244575,-0.1584552685819493,-0.2683881196950003,1.5285908854046941,-0.3382396251848584,0.7625146368618583,-0.4441673247770499,-0.2852502012270237,0.16469149240696354,-0.6087593314583343,-1.6157785228326664,-0.23018793212372207,-1.540185686176946,-0.8199586511541554,0.35868202217126466,-0.9729094624447268,-0.8769339713058866,-1.2280246849510377,2.5498135929792265,0.5318282237841236,-0.8846091883270502,0.6912674226617297,-0.3327176681082905,-0.012308790514207841,1.7383168520383712,1.6478433284679852,0.3199283915490891,0.09598118870503344,0.626131062884803,0.6191863518852415,1.821818121779212,-0.4718167288725044,0.42334567982995297,-0.6463370941221435,-0.7296344115003639,0.966199766135658,0.4871944541353288]"
59,"[-1.6028131210437784,0.41122433411109194,-0.1,0.7581764755210387,0.8294372198635139,1.3520268362149122,-0.35779077592296255,-2.479871121067239,-0.30998997832658,1.087028032113283,-0.15845450141443165,-1.0899844044756146,0.7391905405856448,0.9379567847799376,0.7625146368618583,-0.4439570843314101,1.2601593490242702,0.16469149240696354,1.4680494447359884,1.7421833840823764,1.4550521102490928,0.6973264209752001,2.032923645223833,1.3114721066603432,0.821998170925961,0.12072181874980091,0.2090270051949988,2.1185224875190216,0.6942617674083852,1.1489025967488808,-0.2890863350010779,1.1529234795878531,1.0733586160007393,0.6618175406540854,1.2390068243067691,-1.685971870424186,-0.6815590441036338,0.8422636644511227,-0.7107009954017701,-0.5020009421536589,0.8191823402340799,0.9571793203702602,-0.08798584985977165,0.4915110470776513,0.6877560294971398,-2.28686649467821]"
60,"[-1.085776630384495,0.4923336702276781,-0.1,0.7581764755210387,0.8294372198635139,0.16658567848148711,-0.3577868227417993,-2.480346025976836,4.855838923110224,0.522411745359218,-0.15845528077710488,0.8270735933458188,0.4243701649732859,0.4274057508104891,0.7625146368618583,-0.4441499207666493,0.8973154403798969,0.16469149240696354,-1.809427731740699,-0.6328491760984865,-0.7236437751035794,-0.9197364203141114,0.5734077926931553,-1.0558369576222182,0.7636119851842065,-1.110235243166374,-0.46516126211538333,0.697218928292093,-1.6023040166680202,-0.7973337679823105,-1.5473129391281273,0.7140916322232267,-0.10173405272082768,0.13307919401037474,0.41214091278265935,-1.2088200660733854,0.324386496996688,0.479264622919499,-0.6620801269610931,0.8024505142606115,-0.7711634372374501,0.5122981076833224,-0.13897332194700915,0.4915110470776513,0.6877560294971398,-2.28686649467821]"
61,"[-1.5683440216664928,0.7356616785774365,-0.1,0.7581764755210387,-1.1935803895596906,1.4768101159763254,-0.35777263103389245,-0.14956549688439832,-0.2254770735477325,0.9292160264987929,-0.15845521764924075,-0.5422535479552051,-0.5623802660505255,0.5165438305524936,0.7625146368618583,-0.44398284226680307,-0.6668398691712035,0.16469149240696354,1.519223377619627,-1.1229586564939769,-1.6293414782180597,0.09781999005580665,2.749685621261631,-0.07719279503176102,0.8307666073576043,-0.4932180564195966,0.059034513819810036,0.5006234316928841,-0.08457463408164317,3.038580862169313,-0.03781407795960214,0.5935006331289208,0.49375833603295083,0.5886923546927894,0.4451279623706001,-1.1823028079087652,0.8704794798958907,-0.4814118366364726,0.7425148908929581,-0.29088764458824773,-1.6316653963619185,0.15907845989214278,1.365508105372892,-1.5437313838857074,-1.2613501269724878,-4.020654587686671]"
