,track_id,track_name,track_explicit,track_popularity,album_name,album_release_date_precision,artist_name,audio_acousticness,audio_danceability,audio_duration_ms,audio_energy,audio_instrumentalness,audio_key_1,audio_liveness,audio_loudness,audio_mode_1,audio_speechiness,audio_tempo,audio_time_signature,audio_valence,pitch_0,pitch_1,pitch_2,pitch_3,pitch_4,pitch_5,pitch_6,pitch_7,pitch_8,pitch_9,pitch_10,pitch_11,timbre_0,timbre_1,timbre_2,timbre_3,timbre_4,timbre_5,timbre_6,timbre_7,timbre_8,timbre_9,timbre_10,timbre_11,day,month,year
0,4kDgnKgZTX6puRz9EoNjle,title track,True,59,Tickets To My Downfall,day,Machine Gun Kelly,0.00107,268.0,165967,829.0,0.0,7,157.0,-5.17,1,101.0,199886.0,4,351.0,0.5561288566243198,0.44745009074410164,0.3123647912885664,0.2816079854809433,0.35231397459165165,0.2344392014519055,0.3323012704174229,0.3496206896551726,0.3480272232304899,0.36484754990925616,0.2891451905626138,0.44395281306715073,48.99310344827588,46.2864936479129,-10.116148820326696,-14.200945553539015,4.961130671506349,-29.202558983666048,5.660328493647913,3.496353901996372,-13.04566969147007,7.062355716878405,-11.874842105263156,0.6982704174228688,25,9,2020
1,69LvvkHnFFnX3d5eNObtMo,kiss kiss,True,63,Tickets To My Downfall,day,Machine Gun Kelly,0.000279,569.0,138097,0.85,0.0,1,337.0,-5134.0,1,55.0,162061.0,4,769.0,0.5838202676864245,0.6008680688336525,0.3279808795411088,0.3973460803059276,0.3054703632887187,0.373682600382409,0.32937858508604195,0.34871892925430215,0.4679311663479927,0.30711089866156766,0.3134780114722752,0.2582963671128107,50.93591969407269,69.09671510516253,-6.3340630975143375,-9.224975143403439,0.73161759082218,-28.029967495219896,-2.7729330783938817,0.6400076481835565,-17.186881453154864,3.3370420650095594,-11.069214149139581,-4.878921606118544,25,9,2020
2,3k0YJnqMKRZb8swo86vCkq,drunk face,True,67,Tickets To My Downfall,day,Machine Gun Kelly,0.0282,691.0,143901,0.77,0.0,7,497.0,-4578.0,0,0.0367,90024.0,4,344.0,0.38708072487644146,0.5412026359143327,0.4718303130148274,0.41277265238879757,0.3626326194398683,0.48219110378912694,0.36040691927512386,0.40739044481054365,0.2818187808896214,0.31571663920922594,0.27772158154859977,0.15040197693574983,50.6405403624382,34.27883196046128,6.1719950576606255,1.4513228995057685,27.069250411861596,-22.78494728171336,16.078818780889613,0.22931960461285064,-12.094238879736396,1.475835255354202,-11.136133443163097,-4.542018121911033,25,9,2020
3,6mADjHs6FXdroPzEGW6KVJ,bloody valentine,True,71,Tickets To My Downfall,day,Machine Gun Kelly,0.00021,533.0,205159,858.0,0.0,2,148.0,-4212.0,1,0.0766,160057.0,4,506.0,0.44932584269662884,0.6224550561797755,0.39001123595505593,0.2509901685393256,0.3156109550561797,0.3543792134831457,0.5431755617977527,0.41160112359550555,0.4141685393258428,0.45296488764044956,0.35814185393258446,0.32881601123595494,53.03036376404492,37.494772471910125,-15.594377808988767,-16.006359550561807,2.3335688202247202,-31.182650280898866,15.061658707865165,3.1855744382022464,-17.941841292134864,1.0194382022471906,-12.275213483146064,-4.430251404494378,25,9,2020
4,1VSuFS7PahCN3SWbOcQ98m,forget me too (feat. Halsey),True,72,Tickets To My Downfall,day,Machine Gun Kelly,0.000417,654.0,171621,875.0,0.0086,1,194.0,-4845.0,1,0.0744,99975.0,4,522.0,0.6127391952309984,0.6892369597615496,0.34644113263785403,0.41116542473919565,0.33689567809239923,0.3517332339791356,0.3989478390461998,0.34773025335320396,0.49731147540983534,0.38187630402384515,0.4040327868852458,0.22759463487332332,50.77417585692994,61.7829299552906,-10.552078986587173,-9.678961251862887,-4.099803278688521,-25.780321907600594,4.164782414307005,3.968327868852465,-10.95723099850969,3.2807242921013398,-10.882757078986582,1.4010834575260809,25,9,2020
5,1vuUbnY82fCNjfzqjLmblw,all I know (feat. Trippie Redd),True,61,Tickets To My Downfall,day,Machine Gun Kelly,0.0342,712.0,129142,624.0,4.91e-05,9,0.0919,-6911.0,1,67.0,77471.0,4,335.0,0.34010499139414785,0.5722547332185891,0.27018244406196157,0.2102908777969022,0.26709638554216836,0.21920998278829606,0.29323063683304657,0.21732358003442354,0.2616368330464716,0.42406368330464667,0.19128055077452705,0.19222203098106735,45.386886402753866,37.07085714285715,-35.450089500860564,9.17886402753873,27.40525989672979,-27.539783132530125,14.32337865748709,-20.942631669535277,-6.992385542168674,7.472397590361441,-18.616974182444036,-3.7379724612736647,25,9,2020
6,6EPxapAlha7pEyn5kXgW3R,lonely,True,60,Tickets To My Downfall,day,Machine Gun Kelly,15.0,455.0,190143,728.0,4.74e-05,6,111.0,-6.62,0,0.0749,165948.0,3,461.0,0.409085880640466,0.6093784570596795,0.4066928675400294,0.2861091703056771,0.3202430858806405,0.2512605531295486,0.35935225618631755,0.23962154294032031,0.3028064046579326,0.42577001455604097,0.2948005822416298,0.3277583697234353,47.702401746724895,27.300572052401773,-19.895834061135364,-18.45589810771468,12.88603202328967,-33.01915574963615,5.83494468704512,1.4047088791848616,-10.335406113537104,4.685126637554587,-10.865740902474519,3.173574963609901,25,9,2020
7,41ltleYVuvEjnqiygy2rQ3,WWIII,True,53,Tickets To My Downfall,day,Machine Gun Kelly,7.47e-05,435.0,59740,932.0,1.31e-06,4,0.12,-3652.0,1,148.0,160084.0,4,812.0,0.5570452488687785,0.5334660633484164,0.3232760180995476,0.38644343891402705,0.41931674208144787,0.4130950226244343,0.48939366515837085,0.3505067873303168,0.43575565610859746,0.3091674208144797,0.35878280542986424,0.5513755656108594,53.86733031674209,66.79931674208147,-5.776271493212667,-21.322380090497724,1.8397828054298635,-37.66025339366516,3.7942126696832577,6.4187556561086,-13.974343891402714,5.534755656108598,-9.034036199095022,-1.25956108597285,25,9,2020
8,7Ct4wK3Fpp8vvZGcWy4NCP,kevin and barracuda - interlude,True,47,Tickets To My Downfall,day,Machine Gun Kelly,887.0,603.0,83297,626.0,2.67e-06,7,733.0,-12.27,1,947.0,181151.0,1,226.0,0.47638652482269506,0.5235354609929082,0.501322695035461,0.45665957446808497,0.43616666666666704,0.4471879432624114,0.4830815602836883,0.469063829787234,0.4628900709219856,0.4650921985815604,0.43161702127659585,0.440826241134752,37.149648936170216,65.80014184397166,54.75574822695036,18.231705673758864,47.445656028368795,8.013251773049648,-10.79569503546099,8.110815602836876,-21.69982624113474,0.9097092198581564,-18.67709219858156,16.226794326241126,25,9,2020
9,7os53rdrgA0OU6xC5xJruX,concert for aliens,True,60,Tickets To My Downfall,day,Machine Gun Kelly,0.00032,507.0,160222,951.0,0.0,11,0.33,-2999.0,1,0.0586,95016.0,4,692.0,0.4721981651376145,0.5279412844036698,0.30042018348623867,0.3769486238532113,0.4175761467889911,0.35432660550458694,0.4996146788990825,0.36148623853211004,0.44506788990825696,0.33418165137614664,0.3439100917431195,0.5367743119266053,54.071812844036685,54.18930458715596,9.55082752293577,-13.36254495412844,4.480491743119266,-31.7616348623853,11.014249541284425,4.7950605504587145,-9.727363302752304,5.919572477064218,-9.92670458715595,-1.0302385321100924,25,9,2020
