id,track_name,track_explicit,track_popularity,album_name,album_release_date,album_release_date_precision,artist_name,audio_avg_pitches,audio_avg_timbre,audio_acousticness,audio_danceability,audio_duration_ms,audio_energy,audio_instrumentalness,audio_key_1,audio_liveness,audio_loudness,audio_mode_1,audio_speechiness,audio_tempo,audio_time_signature,audio_valence,track_uri,track_genre
7noCkklUhEAoj8GJkbAuHq,All of Me,False,0,"Cover Sessions, Vol. 1",2014-06-06,day,Boyce Avenue,"[0.3009736842105262, 0.14184210526315788, 0.35212531328320795, 0.16365413533834583, 0.3100689223057642, 0.11080576441102777, 0.1671791979949876, 0.3156127819548871, 0.12457142857142867, 0.2876303258145361, 0.12401127819548874, 0.3446691729323306]","[45.80327568922304, 3.915740601503761, -19.148085213032576, -34.15031578947367, 20.96033082706769, -16.95019924812028, -14.781590225563914, -3.5845325814536384, -3.303219298245615, -0.31371804511278184, -13.232002506265674, -4.534299498746868]",0.712,0.606,276512,0.209,0,7,0.144,-8.759,1,0.0303,125.969,4,0.308,spotify:track:7noCkklUhEAoj8GJkbAuHq,acoustic
1cTmlIavpTMpGewqlvddOI,Teardrop,False,0,Imperial Recordings Best Of,2011-02-28,day,José González,"[0.21359194395796846, 0.21364448336252212, 0.7200507880910688, 0.1498669001751314, 0.11590192644483359, 0.09249036777583189, 0.10225043782837129, 0.22396847635726794, 0.1646970227670752, 0.7376462346760072, 0.21081611208406312, 0.1103327495621717]","[49.50716462346756, -9.899203152364285, -1.8340910683012277, -8.636677758318733, -6.6765288966725045, -16.892886164623473, -11.414446584938707, -12.51848861646235, -8.476898423817854, -5.019231173380033, -8.615001751313484, 2.640457092819614]",0.379,0.496,200853,0.555,0.279,7,0.112,-6.363,1,0.028,74.306,4,0.341,spotify:track:1cTmlIavpTMpGewqlvddOI,acoustic
58CrldAc1Z5WIBozT1NMJH,Ordinary People,False,0,Get Lifted,2004,year,John Legend,"[0.3524982121573295, 0.16906197854588773, 0.3135780691299166, 0.35279618593563783, 0.23446722288438615, 0.43558402860548256, 0.15182598331346836, 0.21861025029797387, 0.1442550655542313, 0.2616758045292015, 0.365128724672229, 0.17329797377830758]","[37.72597616209779, -5.135516090584024, 26.42520381406435, -4.600060786650771, 40.252332538736574, -3.9778057210965443, -16.41253754469606, 1.5168831942789036, -7.350876042908237, -3.4481859356376643, -14.094272943980933, 0.6475351609058403]",0.929,0.469,281467,0.132,0,10,0.0873,-14.001,1,0.0807,67.011,3,0.36,spotify:track:58CrldAc1Z5WIBozT1NMJH,acoustic
4VuHWU01C36BUaN1adNi5M,Winter,False,49,We Were Here,2006,year,Joshua Radin,"[0.10836672051696293, 0.24022294022617138, 0.0712617124394184, 0.18521647819063006, 0.48718901453958025, 0.13210016155088858, 0.35794022617124427, 0.17010177705977383, 0.3519579967689822, 0.33296122778675247, 0.12828432956381264, 0.3881453957996769]","[41.54591922455574, -18.880777059773827, -4.872159935379647, -22.329100161550876, 14.407945072697903, -23.605111470113094, -11.00099999999998, -5.168361873990311, -12.037310177705965, -7.254801292407111, -5.511612277867525, 0.22594507269789949]",0.636,0.258,203773,0.214,0.000362,4,0.141,-15.255,1,0.0366,170.275,4,0.404,spotify:track:4VuHWU01C36BUaN1adNi5M,acoustic
4LkYErZ63mSuUNFKuwblN2,If I Could,False,48,In Between Dreams,2005-01-01,day,Jack Johnson,"[0.279398832684825, 0.28918871595330753, 0.18764591439688727, 0.15646108949416346, 0.3875778210116732, 0.22407782101167315, 0.33804280155642064, 0.1502140077821011, 0.1722217898832686, 0.32774708171206224, 0.17831517509727635, 0.3048793774319066]","[40.219291828793786, -50.32195136186771, -50.27451361867699, -5.611902723735403, -16.229184824902728, -18.24821595330739, -1.3785447470817123, -12.717289883268476, -20.01007198443579, -0.5472509727626459, -12.974871595330745, 3.7753540856031096]",0.727,0.725,144987,0.32,0.38,9,0.0853,-14.51,1,0.0437,114.186,4,0.477,spotify:track:4LkYErZ63mSuUNFKuwblN2,acoustic
574GJ55EBM79W6n2V5bL5z,Slow It Down,False,0,The Lumineers,2012-04-03,day,The Lumineers,"[0.1812995896032831, 0.7201545827633379, 0.17804651162790688, 0.2915307797537621, 0.15932694938440506, 0.3351792065663475, 0.15415184678522564, 0.11620519835841323, 0.27877564979480185, 0.18008618331053355, 0.28406292749657974, 0.11424213406292749]","[35.83071956224355, -15.88742407660736, 0.932264021887817, -18.29759370725033, 17.34758823529412, -5.2397332421340606, -25.39655677154585, -5.052774281805749, 2.562741450068402, -1.1203036935704513, -12.914575923392624, -2.195967168262653]",0.929,0.428,307000,0.064,0,1,0.0859,-14.42,1,0.0374,142.436,4,0.108,spotify:track:574GJ55EBM79W6n2V5bL5z,acoustic
1nuqzCMgj2lxZCmpdCmIGv,A Lack of Color,False,33,The O.C. Vol. 2,2004-10-25,day,Death Cab for Cutie,"[0.43513241379310363, 0.16592137931034473, 0.19355172413793117, 0.48386206896551687, 0.16122482758620685, 0.23920551724137903, 0.1940855172413793, 0.49437103448275826, 0.3320151724137926, 0.1392910344827586, 0.2908772413793103, 0.17305655172413786]","[43.11067172413796, -35.3750124137931, -52.43660551724142, -27.531739310344847, 31.426812413793098, -27.015758620689628, -2.5163406896551725, -10.977587586206885, -3.4393351724137933, -3.833819310344824, -8.10449655172414, 4.644736551724136]",0.805,0.635,216427,0.337,0.00256,3,0.142,-12.125,1,0.0288,135.826,4,0.357,spotify:track:1nuqzCMgj2lxZCmpdCmIGv,acoustic
2V2pxcEfn5zs79sE7qcewA,Now And Forever,False,63,Paid Vacation,1994-01-01,day,Richard Marx,"[0.2794405705229795, 0.18698415213946115, 0.2629984152139462, 0.1399223454833598, 0.3148938193343897, 0.11197622820919184, 0.25105071315372435, 0.48349445324881146, 0.18605229793977848, 0.29517749603803517, 0.1304152139461173, 0.2635911251980983]","[44.35302535657683, 11.058770206022198, -26.717283676703634, -32.29806180665609, 21.029202852614898, -27.69384310618067, -26.07061172741679, -5.089727416798729, -0.8517765451664011, 1.9502678288431072, -7.5374104595879565, -6.309343898573696]",0.661,0.441,214827,0.258,0,7,0.106,-11.227,1,0.0276,77.988,1,0.172,spotify:track:2V2pxcEfn5zs79sE7qcewA,acoustic
6m0qBDIhzICOwWMPZdgyVK,Crazy in Love,False,53,Crazy in Love,2014-03-14,day,Daniela Andrade,"[0.2870452196382433, 0.1768604651162792, 0.3400452196382428, 0.13296382428940595, 0.26406330749354046, 0.10737080103359203, 0.19732170542635677, 0.5058436692506458, 0.16701033591731274, 0.29668346253229977, 0.13581524547803625, 0.30605297157622735]","[43.105306201550384, 5.852516795865634, -48.53320413436691, -26.819458656330752, 30.620182170542655, -9.628062015503875, -32.74922739018085, -13.659363049095598, -0.01840310077519368, -2.3553087855297163, -13.12121317829458, 8.705608527131796]",0.868,0.606,227500,0.326,0,7,0.12,-9.401,1,0.119,78.906,4,0.489,spotify:track:6m0qBDIhzICOwWMPZdgyVK,acoustic
5lxNrjf5UJhcsd8zx9AB1Y,Home,False,0,Diamonds,2014-04-29,day,Johnnyswim,"[0.6085297372060858, 0.39140802213001374, 0.28257261410788365, 0.20564177040110604, 0.3893139695712311, 0.3259073305670815, 0.31669847856154915, 0.6025753803596124, 0.40519225449515955, 0.3666417704011064, 0.3171286307053939, 0.47195297372060857]","[47.963040110650056, 56.34384094052566, 17.226977869986182, -3.627727524204703, 19.191284923928063, -14.999894882434303, 3.56559336099585, 5.556275242047027, -7.821116182572615, 4.776248962655602, -12.423005532503439, 7.955312586445376]",0.23,0.646,211107,0.628,0,0,0.144,-7.08,1,0.0752,110.12,4,0.524,spotify:track:5lxNrjf5UJhcsd8zx9AB1Y,acoustic
