"playlist_id","playlist_name","track_id","track_name","track_explicit","track_popularity","album_name","album_release_date","album_release_date_precision","artist_name","audio_avg_pitches","audio_avg_timbre","audio_acousticness","audio_danceability","audio_duration_ms","audio_energy","audio_instrumentalness","audio_key_1","audio_liveness","audio_loudness","audio_mode_1","audio_speechiness","audio_tempo","audio_time_signature","audio_valence","track_uri"
"0LOtldOWaWgJoQyjnZdwTm","😝Finto Alternativo","3VAwH0vRDwvKl8jRVnQU0w","GERONIMO (feat. Chino Moreno)","True",47,"Pegasus: Neon Shark vs Pegasus Presented By Travis Barker (Deluxe)",2021-02-19,"day","Trippie Redd","[0.3480399201596809, 0.6282814371257484, 0.5097465069860276, 0.2294491017964069, 0.2499001996007984, 0.1819540918163674, 0.29449900199600804, 0.17964271457085856, 0.26184031936127744, 0.38536526946107763, 0.23539520958083834, 0.23950499001996023]","[53.682532934131764, 48.077119760479015, 11.66749101796407, -16.094892215568844, 5.345207584830333, -33.176850299401195, 3.3706267465069866, -1.5348283433133723, -5.089295409181636, 2.1006347305389226, -8.442666666666662, -1.999732534930138]","0.000628",431,179201,782,"0.000819",9,"0.0478",-3623,1,"0.0333",113968,4,261,"spotify:track:3VAwH0vRDwvKl8jRVnQU0w"
"0LOtldOWaWgJoQyjnZdwTm","😝Finto Alternativo","0yFfjXtSDkr81WVAPPS1Q4","RED SKY (feat. Machine Gun Kelly)","True",53,"Pegasus: Neon Shark vs Pegasus Presented By Travis Barker (Deluxe)",2021-02-19,"day","Trippie Redd","[0.5160642023346299, 0.31994552529182874, 0.29134046692607013, 0.18047470817120606, 0.30391439688715977, 0.21901556420233473, 0.4096225680933853, 0.47859533073929983, 0.28491828793774315, 0.3931926070038912, 0.28439494163424134, 0.5334630350194556]","[51.99547665369656, 31.810315175097266, 0.34707003891050625, -9.789607003891048, 18.472852140077816, -32.50146108949419, 0.6872548638132328, -6.09340661478599, -10.561029182879373, 0.7711498054474711, -9.193001945525287, -1.5881361867704287]","0.0249",472,152149,769,0,7,239,-4198,1,"0.0419",159999,4,587,"spotify:track:0yFfjXtSDkr81WVAPPS1Q4"
"0LOtldOWaWgJoQyjnZdwTm","😝Finto Alternativo","6coKWDju9pNBRXdno3p1sa","Mamma Non Mi Parla","True",37,"Mamma Non Mi Parla",2021-01-29,"day","NASKA","[0.5606184397163125, 0.6028297872340428, 0.34164680851063806, 0.47702127659574395, 0.4775574468085105, 0.4787730496453898, 0.5627773049645387, 0.3774127659574468, 0.4172283687943267, 0.3176907801418443, 0.36562269503546085, 0.42364255319148936]","[53.84584964539013, 48.305943262411354, 12.16119716312057, -6.359896453900703, -2.0216042553191484, -26.423262411347515, 12.703896453900713, -1.9963446808510652, -15.149031205673758, 3.6265943262411384, -12.27090070921986, -2.977731914893615]","0.000519","0.42",169765,947,0,11,"0.0905",-3277,1,172,"84.72",4,334,"spotify:track:6coKWDju9pNBRXdno3p1sa"
"0LOtldOWaWgJoQyjnZdwTm","😝Finto Alternativo","4nEYidcaoFBLj9veMFc0Qf","Flames (feat. Avril Lavigne)","False",54,"Internet Killed The Rockstar",2021-02-12,"day","MOD SUN","[0.4802468354430382, 0.3616265822784811, 0.23184388185654028, 0.39439662447257373, 0.22036708860759485, 0.23523839662447263, 0.24137974683544305, 0.41437341772151903, 0.4286033755274263, 0.2537088607594937, 0.2764514767932489, 0.17017932489451482]","[51.068732067510545, 33.007337552742605, 9.105145569620245, -7.334383966244722, 20.02401687763714, -20.93729746835444, 17.92430590717301, 3.180263713080168, -4.310462025316455, 2.352295358649789, -14.714835443037991, -1.6911708860759476]","0.00316","0.54",151989,631,0,8,104,-4569,1,"0.0336",84903,4,194,"spotify:track:4nEYidcaoFBLj9veMFc0Qf"
"0LOtldOWaWgJoQyjnZdwTm","😝Finto Alternativo","7vXtuHrqgzQi58ihUO7L2d","Karma","True",60,"Internet Killed The Rockstar",2021-02-12,"day","MOD SUN","[0.5587858508604209, 0.48886806883365147, 0.3591357552581261, 0.5418718929254301, 0.32639388145315484, 0.42802103250478, 0.3075372848948374, 0.3785697896749525, 0.38862523900573587, 0.27243403441682595, 0.37344550669216015, 0.25938814531548765]","[53.1088585086042, 83.8623250478011, 26.667483747609943, -4.252021032504777, 41.41893116634804, -27.87482217973231, 15.088061185468462, 4.928957934990439, -12.996871892925435, 2.8874837476099415, -10.904393881453146, 1.038686424474186]","0.0246",461,159394,825,0,8,224,-3583,1,115,198045,4,412,"spotify:track:7vXtuHrqgzQi58ihUO7L2d"
"0LOtldOWaWgJoQyjnZdwTm","😝Finto Alternativo","1OJX5Rkvu0NfzIywy4Re9U","Betterman","False",45,"Internet Killed The Rockstar",2021-02-12,"day","MOD SUN","[0.4689638205499281, 0.5259175108538345, 0.30262952243125896, 0.4057858176555718, 0.5914703328509409, 0.34156874095513773, 0.3103328509406657, 0.24950940665701846, 0.4557192474674383, 0.4821490593342976, 0.35336179450072336, 0.3979840810419682]","[52.660024602026056, 21.40123589001446, -0.20520839363241128, -2.2283053545586102, 12.463463096960918, -36.67154703328509, 24.045985528219948, -1.7120405209840823, -2.5375629522431282, 4.138817655571637, -8.679791606367589, 6.279848046309688]","0.00315",523,179363,957,"0.0208",4,124,-3236,1,"0.0633",162048,4,448,"spotify:track:1OJX5Rkvu0NfzIywy4Re9U"
"0LOtldOWaWgJoQyjnZdwTm","😝Finto Alternativo","4dNLIWXzl5QHgtmh1Iegxc","lovesong//slacker","True",37,"lovesong//slacker",2018-08-22,"day","brakence","[0.4900964912280696, 0.5155122807017543, 0.2827684210526313, 0.3809885964912278, 0.3067061403508776, 0.42801666666666677, 0.26113684210526306, 0.29536578947368447, 0.37327280701754323, 0.2840605263157896, 0.5027578947368414, 0.3060552631578944]","[43.31451929824563, 8.440347368421046, -75.28197719298247, -29.91546578947366, 50.706896491228065, -15.957918421052652, -20.601722807017524, -1.8432675438596502, -9.110998245614036, 5.995887719298233, -18.810002631578936, 1.8147052631578942]","0.68",861,265427,501,0,5,"0.19",-7265,0,474,123004,4,564,"spotify:track:4dNLIWXzl5QHgtmh1Iegxc"
"0LOtldOWaWgJoQyjnZdwTm","😝Finto Alternativo","3lPn81PFyKvXiyHhlkwkQ4","Doomed","True",60,"That's The Spirit",2015-09-11,"day","Bring Me The Horizon","[0.4578015783540026, 0.6391488162344983, 0.424614430665163, 0.3386505073280719, 0.4147688838782408, 0.4195107102593011, 0.5627136414881617, 0.37485794813979645, 0.32296956031567087, 0.3977418263810599, 0.2775997745208567, 0.3921544532130781]","[50.40739571589628, 39.314960541149965, 10.978756482525355, -7.118213077790293, 15.06360541149945, -38.099441939120624, 4.143692220969557, -0.20335625704622426, -10.852043968432907, 0.023377677564824274, -7.066050732807211, -3.7023697857948146]","0.00152",271,274133,903,"1.5e-05",6,189,-4516,0,137,147159,4,"0.22","spotify:track:3lPn81PFyKvXiyHhlkwkQ4"
"0LOtldOWaWgJoQyjnZdwTm","😝Finto Alternativo","1KTJmfwrk5pYqsi9mkY3nT","True Friends","False",63,"That's The Spirit",2015-09-11,"day","Bring Me The Horizon","[0.5070192307692304, 0.5735820512820515, 0.5671769230769229, 0.3458333333333333, 0.3340871794871796, 0.37054230769230745, 0.3240474358974358, 0.45609487179487224, 0.2988782051282053, 0.403598717948718, 0.34448974358974344, 0.3143576923076924]","[54.07473076923082, 77.72687051282054, 20.56075641025642, -13.687733333333327, 14.41204871794872, -29.67709743589742, 0.7850589743589735, -1.1546756410256407, -11.349249999999989, 3.2868961538461505, -8.042728205128203, -0.5852346153846149]","0.000683",419,232320,938,0,7,114,"-3.12",1,"0.0837",160151,4,333,"spotify:track:1KTJmfwrk5pYqsi9mkY3nT"
"0LOtldOWaWgJoQyjnZdwTm","😝Finto Alternativo","1wvs9V8xEJStRzx78lSNJK","Run","False",55,"That's The Spirit",2015-09-11,"day","Bring Me The Horizon","[0.39500375000000054, 0.5011249999999998, 0.4397424999999997, 0.33797750000000015, 0.5231749999999996, 0.356765, 0.5025799999999999, 0.47076375000000015, 0.3287212500000003, 0.3274787499999998, 0.2608949999999998, 0.5195012500000004]","[50.87519875000001, 26.147553749999993, 13.230167499999999, -12.106728749999997, 23.031708750000057, -38.51721374999997, 9.665454999999998, -1.5366850000000003, -10.299795, 0.9316749999999998, -6.308331250000002, -4.447038749999999]","0.00301",481,222760,938,"0.000153",11,"0.0859",-4759,0,"0.0781",134962,4,357,"spotify:track:1wvs9V8xEJStRzx78lSNJK"
