playlist_id,playlist_name,track_id,track_name,track_explicit,track_popularity,album_name,album_release_date,album_release_date_precision,artist_name,audio_avg_pitches,audio_avg_timbre,audio_acousticness,audio_danceability,audio_duration_ms,audio_energy,audio_instrumentalness,audio_key_1,audio_liveness,audio_loudness,audio_mode_1,audio_speechiness,audio_tempo,audio_time_signature,audio_valence,track_uri
7J11qV8EOitdHmPHNAeocC,Musica,3jKxEuWXKfLxapQH9XZRcC,Io mi innamoro ancora,False,34,Non abbiamo armi,2018-02-09,day,Ermal Meta,"[0.5028561643835617, 0.4624575342465757, 0.25864657534246555, 0.4519945205479455, 0.27512876712328754, 0.32630958904109575, 0.19663972602739718, 0.2542397260273973, 0.41918356164383586, 0.20733972602739723, 0.2758958904109588, 0.24568630136986325]","[50.644369863013715, 40.98118082191782, -1.9821438356164407, -15.113457534246589, 12.663457534246577, -24.968268493150703, 9.059901369863011, 2.4611506849315075, -11.286169863013706, 2.8906876712328753, -11.930002739726012, -3.536234246575342]",0.00345,0.618,208947,0.751,0,8,0.317,-4.952,1,0.0308,129.981,4,0.524,spotify:track:3jKxEuWXKfLxapQH9XZRcC
7J11qV8EOitdHmPHNAeocC,Musica,7iyhPEsF6Ea83e3eR87UjY,Felicità puttana,False,44,Felicità puttana,2018-06-13,day,Thegiornalisti,"[0.597028599605524, 0.6554921104536489, 0.4323145956607499, 0.38855719921104453, 0.5006577909270218, 0.4351548323471398, 0.34307001972386586, 0.4145138067061144, 0.3248589743589742, 0.39442603550295857, 0.29192110453648945, 0.3633382642998028]","[50.7423303747535, 53.682923076923025, -7.792653846153847, 0.6193145956607518, 8.73363905325444, -23.0437672583827, 0.18053057199210965, 1.8826173570019706, -7.6667238658777155, 5.204930966469425, -11.438063116370795, -0.2686696252465482]",0.00763,0.692,219807,0.856,1.89e-05,0,0.305,-4.816,1,0.127,93.975,4,0.686,spotify:track:7iyhPEsF6Ea83e3eR87UjY
7J11qV8EOitdHmPHNAeocC,Musica,7F4laaMW44ARgK3MioHv4n,Un Angelo Disteso Al Sole,False,40,Noi,2012-01-01,day,Eros Ramazzotti,"[0.4446228070175437, 0.5780277777777778, 0.4581418128654972, 0.2534561403508772, 0.45655116959064346, 0.30066520467836283, 0.4483961988304094, 0.37834502923976593, 0.3309707602339181, 0.3862207602339184, 0.2608669590643276, 0.5645994152046784]","[53.516840643274826, 55.30936257309948, 5.942466374269002, -5.796681286549706, 15.658649122807025, -24.911904970760236, 3.5669663742690028, -3.4125058479532138, -3.604616959064321, 2.4112134502923976, -13.04586111111111, -6.392669590643275]",0.00498,0.552,203307,0.946,0,11,0.0897,-2.418,0,0.0679,99.02,4,0.633,spotify:track:7F4laaMW44ARgK3MioHv4n
7J11qV8EOitdHmPHNAeocC,Musica,4VSrTlLWl6jmNHnfa7vWtG,L'eternità (Il mio quartiere) (feat. Ultimo),False,50,L'eternità (Il mio quartiere) (feat. Ultimo),2018-04-20,day,Fabrizio Moro,"[0.5617551020408166, 0.26766763848396496, 0.2718862973760932, 0.1828688046647231, 0.3736282798833818, 0.33431195335277, 0.2408148688046647, 0.5065685131195337, 0.1949344023323616, 0.2227930029154518, 0.13398688046647236, 0.25583673469387747]","[48.40279883381926, 31.703447521865854, 1.7159431486880432, -21.768992711370252, 32.41733381924199, -21.131046647230335, -3.955733236151603, 1.906903790087462, -11.871801749271143, 1.8799285714285716, -10.77299125364431, -4.469377551020414]",0.255,0.534,226660,0.71,0,0,0.124,-6.063,1,0.0344,79.874,4,0.199,spotify:track:4VSrTlLWl6jmNHnfa7vWtG
7J11qV8EOitdHmPHNAeocC,Musica,7MMJa7cjMadOSR6CFWvB1x,La musica non c'è,False,62,Faccio un casino,2017-05-05,day,Coez,"[0.5588036984352772, 0.2966742532005687, 0.28707396870554797, 0.19357752489331437, 0.3110540540540539, 0.25222048364153626, 0.2295462304409673, 0.3810099573257466, 0.2256116642958749, 0.3572958748221909, 0.23743100995732586, 0.3708264580369844]","[47.212267425320036, -4.181029871977235, -0.17991465149359348, -5.4668762446657215, 44.26062446657185, -13.777806543385486, -1.732564722617356, -0.9379658605974387, -16.54043243243245, 1.3323285917496444, -15.211166429587493, -4.237913229018495]",0.381,0.747,222787,0.498,0,0,0.712,-6.674,1,0.0353,135.919,4,0.53,spotify:track:7MMJa7cjMadOSR6CFWvB1x
7J11qV8EOitdHmPHNAeocC,Musica,3fw3W15QK6a9UxJGgndtYu,Fotografia (feat. Francesca Michielin & Fabri Fibra),False,54,Notti Brave,2018-05-11,day,Carl Brave,"[0.49152004333694443, 0.38641170097508104, 0.2494842903575299, 0.33210184182015184, 0.20537053087757298, 0.2705362946912242, 0.2087908992416037, 0.24690140845070413, 0.25763380281690146, 0.3156511375947999, 0.5578981581798483, 0.32266522210184123]","[48.307872156012934, 31.5449328277356, -20.013137594799595, -1.5211289274106228, 18.914794149512456, -13.159703141928505, 2.3138179848320712, -1.088781148429036, -4.862669555796322, 3.7930942578548232, -20.86255037919829, -8.962733477789813]",0.0438,0.707,221413,0.539,0,0,0.0959,-5.321,0,0.169,167.125,4,0.423,spotify:track:3fw3W15QK6a9UxJGgndtYu
7J11qV8EOitdHmPHNAeocC,Musica,681fNvwhF5pF9sYiiOycPp,Vietato morire,False,0,Vietato morire,2017-02-10,day,Ermal Meta,"[0.570703656998739, 0.4459369482976041, 0.37756242118537225, 0.3228058007566205, 0.5506179066834803, 0.4243455233291298, 0.2760176544766708, 0.35561286254728847, 0.2660605296342996, 0.42100126103404756, 0.2721500630517024, 0.40081588902900434]","[53.30037326607823, 44.365519546027755, 16.959523329129887, -10.741467843631769, 18.199424968474126, -26.433525851197995, -4.038060529634299, -2.7228146279949548, -0.49945901639344353, 5.111142496847422, -10.046114754098364, -7.40774527112231]",0.0187,0.531,211907,0.909,0,0,0.273,-3.776,1,0.048,97.987,4,0.608,spotify:track:681fNvwhF5pF9sYiiOycPp
7J11qV8EOitdHmPHNAeocC,Musica,5cot4x7q9g9fzegp6KSW7Y,Se si potesse non morire,False,0,Gioia...non è mai abbastanza!,2013-11-19,day,Modà,"[0.33941279069767455, 0.25506860465116304, 0.15725116279069784, 0.25674534883720923, 0.45646744186046545, 0.2736267441860465, 0.41134651162790664, 0.2503372093023257, 0.2169744186046513, 0.18009767441860453, 0.23207906976744203, 0.5392220930232559]","[49.37169069767444, 12.409169767441858, 3.1813360465116403, -14.176119767441863, 30.898370930232534, -27.00845116279068, 7.366068604651167, 1.9610883720930223, -14.391122093023277, 3.4365779069767455, -13.461376744186053, -10.15166860465117]",0.142,0.486,248733,0.617,0,11,0.127,-5.716,1,0.0317,130.065,4,0.257,spotify:track:5cot4x7q9g9fzegp6KSW7Y
7J11qV8EOitdHmPHNAeocC,Musica,1Oe4ZtjM8BnNAbxw7Fdf2M,Non è mai abbastanza,False,0,Gioia...non è mai abbastanza!,2013-11-19,day,Modà,"[0.26507715133531157, 0.25594807121661717, 0.31483086053412485, 0.560336795252225, 0.28116765578635, 0.25074035608308626, 0.20192878338278952, 0.319428783382789, 0.42103264094955534, 0.22685311572700298, 0.3844747774480715, 0.2141810089020771]","[49.78128041543023, 38.709421364985175, 2.744287833827897, -22.019146884272967, 26.41958456973298, -25.767827893175106, 2.09637240356083, 3.147186943620177, -6.465118694362011, 3.5882596439169183, -11.370406528189909, 0.8574020771513355]",0.044,0.519,228040,0.626,0,3,0.128,-5.511,1,0.0358,124.869,4,0.352,spotify:track:1Oe4ZtjM8BnNAbxw7Fdf2M
7J11qV8EOitdHmPHNAeocC,Musica,47LqR8uKRA8WcZcSXkdAbz,Morirò da Re,False,46,Morirò da Re,2018-03-23,day,Måneskin,"[0.42935572519084, 0.5561206106870229, 0.657653435114504, 0.411363358778626, 0.43658778625954253, 0.5048381679389311, 0.3622824427480914, 0.40265190839694626, 0.3156610687022902, 0.4300229007633588, 0.2950610687022899, 0.22734656488549615]","[53.421563358778634, 62.989526717557304, 8.281619847328246, 2.019048854961833, 7.799632061068702, -7.734119083969463, -20.918422900763364, -0.9653587786259541, -10.502204580152672, 3.38212671755725, -12.99330076335879, -11.456847328244272]",0.122,0.617,157758,0.879,0,10,0.0362,-2.597,1,0.153,193.998,4,0.926,spotify:track:47LqR8uKRA8WcZcSXkdAbz
7J11qV8EOitdHmPHNAeocC,Musica,5iNFOkYE7WVbGIJosbLoel,Quando ho incontrato te,False,28,Tu non sei tu / Quando ho incontrato te,2017-12-19,day,Cosmo,"[0.5040960086299894, 0.3594660194174752, 0.44339482200647296, 0.37630852211434707, 0.2971682847896443, 0.35232470334412114, 0.21731715210356012, 0.24026321467098147, 0.17255771305285883, 0.2260053937432581, 0.34853182308522074, 0.44766235167206064]","[46.48502588996762, -18.228143473570647, -34.54553074433655, 1.2563279395900642, 14.827632146709815, -21.24520711974109, -0.4642761596548023, -0.6552934196332264, 1.3790809061488667, 0.8003430420712003, -16.282839266450903, -3.152341963322551]",0.0581,0.885,242253,0.583,2.24e-05,10,0.312,-6.795,1,0.0391,119.994,4,0.704,spotify:track:5iNFOkYE7WVbGIJosbLoel
